ticker,gics_sub_industry,embedding_peers,benchmark_peers,random_peers,embedding_direct_rate,benchmark_direct_rate,random_direct_rate,embedding_jaccard,benchmark_jaccard,random_jaccard
ORCL,Application Software,IBM|CDW|MSFT|FFIV|GEN,TYL|ADBE|TRMB|CDNS|FICO,COF|T|CASY|PPL|APTV,0.4,0.2,0.0,0.139484126984127,0.025,0.0
OTIS,Industrial Machinery & Supplies & Components,PH|PNR|JBHT|WDC|J,SWK|SNA|HUBB|FTV|IR,ABNB|TRMB|CTSH|MA|FIX,0.0,0.0,0.0,0.0,0.0,0.04
OXY,Oil & Gas Exploration & Production,DVN|COP|FANG|GLW|XOM,DVN|FANG|COP|TPL|CTRA,WY|BR|COR|ADP|BG,0.0,0.0,0.0,0.05,0.0,0.0
PANW,Systems Software,ALLE|MSI|DDOG|CRWD|ANET,NOW|CRWD|MSFT|FTNT|GEN,JCI|MSI|AXON|CHTR|SNA,0.2,0.6,0.0,0.12380952380952381,0.23276515151515148,0.03636363636363636
PFE,Pharmaceuticals,GILD|VTRS|BAX|BSX|EW,VTRS|MRK|ZTS|BMY|LLY,PODD|MSCI|VTRS|SRE|UNP,0.2,0.6,0.2,0.0,0.12000000000000002,0.0
PH,Industrial Machinery & Supplies & Components,OTIS|IR|PNR|STLD|J,HUBB|SWK|IEX|PNR|FTV,WAT|HII|SATS|SOLV|DD,0.0,0.0,0.0,0.0,0.0,0.02222222222222222
PLTR,Application Software,CRWD|XYZ|MPWR|LITE|MSI,APP|TRMB|CDNS|TYL|PTC,IQV|EXPE|EBAY|FTV|TYL,0.0,0.0,0.0,0.0,0.0,0.0
PNR,Industrial Machinery & Supplies & Components,TDG|PH|J|OTIS|STLD,OTIS|HUBB|PH|XYL|SNA,TSN|EFX|XOM|SNDK|DIS,0.0,0.0,0.0,0.0,0.0,0.0
PODD,Health Care Equipment,INCY|LLY|MRK|BAX|CHD,BAX|ABT|RVTY|BDX|EW,AMT|IP|IR|MU|BKNG,0.0,0.0,0.0,0.0,0.13333333333333333,0.0
PPL,Electric Utilities,EXC|SO|WEC|EVRG|ATO,WEC|SO|DUK|LNT|EIX,TSN|WEC|STZ|MO|PM,0.2,0.2,0.0,0.06666666666666667,0.2,0.10666666666666666
PTC,Application Software,NVDA|AXON|TER|IBM|STX,ORCL|TRMB|CRM|FICO|ADBE,WMB|FTV|KMB|HRL|ICE,0.0,0.4,0.0,0.13166666666666665,0.05176470588235295,0.0
PYPL,Transaction & Payment Processing Services,GPN|FIS|BRK-B|EFX|FISV,V|JKHY|CPAY|FIS|GPN,KHC|TRMB|FICO|PKG|IP,0.2,0.2,0.0,0.12000000000000002,0.07333333333333333,0.04
QCOM,Semiconductors,SWKS|LUV|ADSK|UNP|TKO,NVDA|MPWR|AMD|SWKS|AVGO,DOW|HPE|NCLH|PODD|TER,0.2,0.2,0.0,0.0,0.05636363636363637,0.0
RCL,"Hotels, Resorts & Cruise Lines",HLT|ABNB|DAL|STZ|BKNG,NCLH|EXPE|HLT|CCL|MAR,NXPI|AMT|KO|DE|SO,0.2,0.4,0.0,0.08333333333333334,0.18190476190476187,0.0
REGN,Biotechnology,AMD|IDXX|DE|BAX|ZBH,GILD|MRNA|ABBV|VRTX|INCY,WDC|NKE|ANET|LNT|GRMN,0.0,0.0,0.0,0.0,0.0,0.0
RTX,Aerospace & Defense,LHX|HII|RVTY|DE|TXT,TDG|TXT|LHX|HWM|BA,TPL|MO|DELL|FFIV|AON,0.0,0.2,0.0,0.05714285714285714,0.141991341991342,0.0
RVTY,Health Care Equipment,A|HII|TXT|BDX|WRB,BSX|BAX|IDXX|EW|PODD,PKG|CAH|VLTO|UNP|TXN,0.0,0.0,0.0,0.09,0.05,0.0
SJM,Packaged Foods & Meats,CAG|FTV|KO|IR|MDLZ,MKC|MDLZ|CAG|TSN|KHC,NWS|WDAY|FDS|NKE|COHR,0.0,0.0,0.0,0.1,0.21666666666666665,0.0
SNA,Industrial Machinery & Supplies & Components,JCI|EMR|HAS|LRCX|ZBH,SWK|IEX|OTIS|XYL|PNR,MKC|FOXA|RCL|TSN|HPQ,0.0,0.0,0.0,0.0,0.0,0.0
SNDK,"Technology Hardware, Storage & Peripherals",GPN|AMZN|TXN|APH|ROP,HPQ|AAPL|WDC|STX|HPE,DUK|WDAY|LMT|GEV|ODFL,0.0,0.2,0.0,0.0,0.06666666666666667,0.0
SNPS,Application Software,ADI|DDOG|KEYS|GLW|CRWD,PTC|INTU|APP|FICO|ADSK,SOLV|LII|SPGI|BG|KDP,0.0,0.0,0.0,0.16666666666666666,0.04,0.02
SO,Electric Utilities,D|PPL|WEC|EVRG|DUK,CEG|VST|EVRG|FE|DUK,IR|PNR|FIX|SPG|HPQ,0.6,0.0,0.0,0.0,0.014285714285714285,0.0
SPGI,Financial Exchanges & Data,CDNS|AMZN|SNDK|APH|MMM,FDS|MCO|ICE|MSCI|COIN,TSN|GLW|RCL|SNPS|GEN,0.0,0.0,0.0,0.0,0.2,0.0
STE,Health Care Equipment,TECH|A|DHR|LMT|ALGN,ISRG|GEHC|IDXX|SYK|PODD,VRSN|HPE|CHTR|DLR|WDC,0.0,0.2,0.0,0.03333333333333333,0.0,0.0
STX,"Technology Hardware, Storage & Peripherals",NVDA|HPE|DDOG|NOW|LITE,HPQ|NTAP|HPE|SNDK|WDC,GEN|GEV|XYL|MDLZ|BA,0.0,0.2,0.0,0.12707070707070706,0.12484848484848485,0.03333333333333333
SWK,Industrial Machinery & Supplies & Components,LOW|ADSK|WY|ECL|DG,HUBB|FTV|PNR|PH|IR,CHRW|MAS|TPR|STLD|MSFT,0.0,0.0,0.0,0.0,0.0,0.0
SWKS,Semiconductors,QCOM|CIEN|UBER|XYZ|CTRA,ADI|MPWR|NXPI|ON|INTC,GPC|MU|PPL|DUK|TKO,0.2,0.4,0.0,0.03484848484848485,0.1893939393939394,0.04
SYK,Health Care Equipment,IDXX|ZBH|BAX|IEX|IQV,STE|PODD|BAX|BDX|BSX,QCOM|HAS|CASY|LRCX|COIN,0.2,0.2,0.0,0.0,0.1,0.0
TDG,Aerospace & Defense,PNR|HWM|J|PH|TXN,BA|HWM|RTX|GE|LHX,WRB|AIG|CSX|ALL|HON,0.0,0.2,0.0,0.0,0.14999999999999997,0.0
TECH,Life Sciences Tools & Services,STE|A|COO|AVY|DHR,DHR|A|TMO|IQV|WAT,HD|AMZN|BA|TJX|PFE,0.0,0.2,0.0,0.0,0.0,0.0
TMO,Life Sciences Tools & Services,VLTO|SOLV|MU|KEYS|DHR,TECH|DHR|A|WAT|IQV,HD|UBER|IBM|CME|ABT,0.2,0.2,0.0,0.0,0.0,0.0
TPL,Oil & Gas Exploration & Production,XOM|CVX|VLO|MPC|TRGP,OXY|DVN|CTRA|COP|FANG,DLTR|PNC|HPQ|BA|AXON,0.0,0.0,0.0,0.0,0.06666666666666667,0.0
TRMB,Application Software,DELL|EQIX|WDC|TXN|LITE,TYL|DDOG|WDAY|APP|ADBE,ETN|JBHT|LULU|BDX|VZ,0.0,0.0,0.0,0.0,0.0,0.0
TSN,Packaged Foods & Meats,WM|BALL|JCI|BAX|DD,KHC|HRL|MDLZ|MKC|CAG,WDC|AIG|JPM|DLR|IBM,0.0,0.0,0.0,0.0,0.36666666666666664,0.0
TXN,Semiconductors,UPS|XYL|SNDK|IP|MU,NVDA|AMD|AVGO|INTC|ON,AXON|DLR|APD|DVN|RVTY,0.0,0.2,0.0,0.0,0.055384615384615386,0.0
TXT,Aerospace & Defense,A|RVTY|NDAQ|GS|HON,RTX|BA|GD|NOC|GE,INTC|REGN|BMY|IDXX|CTVA,0.0,0.0,0.0,0.0,0.0,0.0
TYL,Application Software,ON|MSCI|HPQ|UNH|RSG,CDNS|TRMB|PTC|SNPS|FICO,IDXX|WFC|SBUX|XOM|AXON,0.0,0.0,0.2,0.0,0.02857142857142857,0.025
V,Transaction & Payment Processing Services,FISV|CSGP|ROP|SBAC|AKAM,FIS|PYPL|CPAY|XYZ|JKHY,AVY|AAPL|COIN|UNP|APTV,0.0,0.0,0.0,0.05714285714285714,0.13833333333333334,0.05
VRTX,Biotechnology,MRNA|ISRG|INCY|BSX|LLY,ABBV|GILD|REGN|MRNA|INCY,DDOG|CTSH|NDAQ|A|D,0.2,0.2,0.0,0.0,0.0,0.0
VST,Electric Utilities,LNT|NI|NRG|GNRC|TRGP,EXC|CEG|EVRG|LNT|ES,HAS|MMM|PCAR|TGT|VRSK,0.0,0.0,0.0,0.1,0.0,0.06666666666666667
VTRS,Pharmaceuticals,PFE|CI|BSX|GILD|EW,ZTS|PFE|LLY|MRK|BMY,COF|XOM|LHX|ADSK|JKHY,0.2,0.2,0.0,0.0,0.16666666666666666,0.0
WAT,Life Sciences Tools & Services,A|CAH|COR|ABBV|MCK,TECH|A|IQV|TMO|DHR,AON|UNH|DXCM|BR|PPL,0.2,0.4,0.0,0.01818181818181818,0.03484848484848485,0.0
WDAY,Application Software,INTU|CRM|CTSH|HPQ|MSCI,ADBE|PLTR|ORCL|INTU|CRM,IP|INTU|AZO|FICO|VRSN,0.2,0.2,0.0,0.08636363636363636,0.08636363636363636,0.0
WDC,"Technology Hardware, Storage & Peripherals",OTIS|TRMB|TXN|NDAQ|SNDK,NTAP|STX|HPQ|HPE|SNDK,BMY|TSN|CIEN|XYL|STLD,0.2,0.4,0.0,0.0,0.0,0.0
WEC,Electric Utilities,SO|PPL|EVRG|ATO|D,FE|EVRG|EXC|DUK|LNT,TKO|GPN|CTAS|PNC|VLTO,0.2,0.0,0.0,0.13333333333333333,0.2,0.0
XYL,Industrial Machinery & Supplies & Components,MPWR|INTC|TXN|MU|VLTO,OTIS|FTV|IR|SNA|PNR,MKC|GEHC|GPN|HLT|JKHY,0.0,0.0,0.0,0.0,0.0,0.0
XYZ,Transaction & Payment Processing Services,LITE|UBER|PLTR|APP|VRT,V|FISV|JKHY|GPN|MA,BA|INCY|PSA|TYL|FANG,0.0,0.0,0.0,0.05,0.0,0.0
ZBH,Health Care Equipment,IDXX|BAX|SYK|LLY|MRK,BAX|EW|DXCM|SYK|IDXX,TRGP|BLK|EVRG|MNST|CF,0.2,0.2,0.0,0.0,0.0,0.0
ZTS,Pharmaceuticals,CTAS|PM|GPC|UNH|PKG,BMY|LLY|MRK|VTRS|PFE,WDAY|NOC|C|SO|ABBV,0.0,0.0,0.0,0.0,0.0,0.0
