ticker,gics_sub_industry,embedding_peers,benchmark_peers,random_peers,embedding_direct_rate,benchmark_direct_rate,random_direct_rate,embedding_jaccard,benchmark_jaccard,random_jaccard
MKC,Packaged Foods & Meats,SJM|SYF|DRI|EXPE|MDLZ,HRL|KHC|MDLZ|CAG|TSN,CCI|WMB|LYV|ICE|JKHY,0.0,0.0,0.0,0.0,0.1,0.0
MPWR,Semiconductors,AVGO|CTSH|ADSK|GNRC|PTC,ON|ADI|INTC|TXN|NVDA,TRGP|DASH|GPN|SO|ECL,0.0,0.6,0.0,0.0,0.18,0.0
MRK,Pharmaceuticals,MRNA|GILD|PFE|HRL|PTC,VTRS|BMY|LLY|ZTS|PFE,INTU|CAG|CDW|IDXX|IP,0.4,0.4,0.0,0.11333333333333333,0.19666666666666666,0.0
MRNA,Biotechnology,VRTX|PTC|PFE|GILD|REGN,VRTX|INCY|ABBV|GILD|REGN,PM|DIS|FIS|LULU|GD,0.4,0.2,0.0,0.06857142857142857,0.04,0.0
MSCI,Financial Exchanges & Data,AON|BR|CTSH|FFIV|BX,ICE|FDS|SPGI|NDAQ|COIN,FOX|UNP|KHC|COP|TRMB,0.0,0.2,0.0,0.0,0.03333333333333333,0.0
MSFT,Systems Software,NOW|GOOGL|AKAM|GEN|PTC,CRWD|PANW|NOW|FTNT|GEN,GILD|VLTO|CARR|NTAP|PEP,0.8,1.0,0.2,0.04197097020626432,0.07902183600713011,0.0125
MU,Semiconductors,KEYS|PTC|TRMB|CTSH|AXON,NXPI|ON|AMD|TXN|AVGO,OXY|EPAM|AZO|STLD|BAX,0.0,0.0,0.0,0.0,0.0,0.0
NCLH,"Hotels, Resorts & Cruise Lines",TEL|VTRS|VRT|CCL|PNC,RCL|HLT|MAR|EXPE|BKNG,HLT|GPC|SWK|LIN|PODD,0.2,0.4,0.0,0.06666666666666667,0.1805263157894737,0.05
NDAQ,Financial Exchanges & Data,CME|VRSN|A|IDXX|ANET,COIN|CME|MSCI|FDS|MCO,XYL|IDXX|TROW|DDOG|APH,0.2,0.2,0.0,0.0,0.0,0.0
NOC,Aerospace & Defense,LMT|GEN|MSI|AVGO|FTV,GE|TDG|LMT|LHX|HII,AXON|HUBB|FDX|COR|PYPL,0.2,0.4,0.2,0.1288888888888889,0.26222222222222225,0.02222222222222222
NOW,Systems Software,MSFT|WDAY|PTC|PLTR|INTU,MSFT|FTNT|GEN|PANW|CRWD,NRG|LII|ALLE|HRL|FE,0.4,0.2,0.0,0.14474153297682707,0.12352941176470589,0.0
NTAP,"Technology Hardware, Storage & Peripherals",WDC|ORCL|HPE|DDOG|SNDK,HPE|AAPL|WDC|STX|DELL,EBAY|MRNA|SATS|EIX|INTC,0.0,0.0,0.0,0.19454545454545452,0.1612121212121212,0.09714285714285714
NVDA,Semiconductors,CTSH|MU|TRMB|DELL|CRM,INTC|MPWR|AMD|TXN|NXPI,PNR|LOW|VRTX|UNH|GD,0.0,0.4,0.0,0.07469696969696969,0.051515151515151514,0.0
NXPI,Semiconductors,AMAT|TXN|TER|TXT|ADSK,AMD|ON|MPWR|MU|NVDA,PLTR|EBAY|LEN|COF|WEC,0.0,0.2,0.0,0.1,0.13333333333333333,0.0
ON,Semiconductors,CAT|EPAM|GEV|INTU|RSG,TXN|AVGO|MPWR|SWKS|NVDA,TROW|SATS|SNDK|ALL|JCI,0.0,0.4,0.0,0.0,0.16,0.0
ORCL,Application Software,PTC|HPE|NTAP|DDOG|AVGO,TYL|ADBE|TRMB|CDNS|FICO,COF|T|CASY|PPL|APTV,0.2,0.2,0.0,0.10685128596893304,0.025,0.0
OTIS,Industrial Machinery & Supplies & Components,PH|TRMB|FIX|DELL|PTC,SWK|SNA|HUBB|FTV|IR,ABNB|TRMB|CTSH|MA|FIX,0.0,0.0,0.0,0.0,0.0,0.04
OXY,Oil & Gas Exploration & Production,DVN|CVX|MPC|TRGP|NRG,DVN|FANG|COP|TPL|CTRA,WY|BR|COR|ADP|BG,0.0,0.0,0.0,0.0,0.0,0.0
PANW,Systems Software,ALLE|FTNT|MSI|AVGO|GEN,NOW|CRWD|MSFT|FTNT|GEN,JCI|MSI|AXON|CHTR|SNA,0.2,0.6,0.0,0.10984848484848483,0.23276515151515148,0.03636363636363636
PFE,Pharmaceuticals,ELV|GEHC|VTRS|SOLV|GILD,VTRS|MRK|ZTS|BMY|LLY,PODD|MSCI|VTRS|SRE|UNP,0.2,0.6,0.2,0.0,0.12000000000000002,0.0
PH,Industrial Machinery & Supplies & Components,J|PNR|AVGO|PTC|ECL,HUBB|SWK|IEX|PNR|FTV,WAT|HII|SATS|SOLV|DD,0.0,0.0,0.0,0.0,0.0,0.02222222222222222
PLTR,Application Software,CRM|CRWD|XYZ|CTSH|NOW,APP|TRMB|CDNS|TYL|PTC,IQV|EXPE|EBAY|FTV|TYL,0.0,0.0,0.0,0.0,0.0,0.0
PNR,Industrial Machinery & Supplies & Components,PH|XYL|TMO|VLTO|CDNS,OTIS|HUBB|PH|XYL|SNA,TSN|EFX|XOM|SNDK|DIS,0.0,0.0,0.0,0.0,0.0,0.0
PODD,Health Care Equipment,ISRG|DXCM|EW|REGN|GEHC,BAX|ABT|RVTY|BDX|EW,AMT|IP|IR|MU|BKNG,0.2,0.0,0.0,0.21666666666666665,0.13333333333333333,0.0
PPL,Electric Utilities,KHC|TEL|GNRC|PNC|CEG,WEC|SO|DUK|LNT|EIX,TSN|WEC|STZ|MO|PM,0.0,0.2,0.0,0.0,0.2,0.10666666666666666
PTC,Application Software,J|AVGO|HPE|GEHC|EPAM,ORCL|TRMB|CRM|FICO|ADBE,WMB|FTV|KMB|HRL|ICE,0.0,0.4,0.0,0.04871794871794872,0.05176470588235295,0.0
PYPL,Transaction & Payment Processing Services,CPAY|COIN|CASY|GPN|V,V|JKHY|CPAY|FIS|GPN,KHC|TRMB|FICO|PKG|IP,0.2,0.2,0.0,0.03333333333333333,0.07333333333333333,0.04
QCOM,Semiconductors,TRMB|J|XYZ|HPE|AVGO,NVDA|MPWR|AMD|SWKS|AVGO,DOW|HPE|NCLH|PODD|TER,0.0,0.2,0.0,0.03636363636363636,0.05636363636363637,0.0
RCL,"Hotels, Resorts & Cruise Lines",BKNG|ABNB|HLT|NCLH|CCL,NCLH|EXPE|HLT|CCL|MAR,NXPI|AMT|KO|DE|SO,0.6,0.4,0.0,0.19190476190476188,0.18190476190476187,0.0
REGN,Biotechnology,DE|AMD|CDNS|PSA|J,GILD|MRNA|ABBV|VRTX|INCY,WDC|NKE|ANET|LNT|GRMN,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
RTX,Aerospace & Defense,COHR|FTV|GD|LMT|J,TDG|TXT|LHX|HWM|BA,TPL|MO|DELL|FFIV|AON,0.2,0.2,0.0,0.08666666666666667,0.141991341991342,0.0
RVTY,Health Care Equipment,VLTO|MCK|TXT|ISRG|VTRS,BSX|BAX|IDXX|EW|PODD,PKG|CAH|VLTO|UNP|TXN,0.0,0.0,0.0,0.0,0.05,0.0
SJM,Packaged Foods & Meats,AMCR|KVUE|SYF|ELV|KHC,MKC|MDLZ|CAG|TSN|KHC,NWS|WDAY|FDS|NKE|COHR,0.0,0.0,0.0,0.07222222222222222,0.21666666666666665,0.0
SNA,Industrial Machinery & Supplies & Components,GPC|CI|FTV|SYF|GM,SWK|IEX|OTIS|XYL|PNR,MKC|FOXA|RCL|TSN|HPQ,0.0,0.0,0.0,0.0,0.0,0.0
SNDK,"Technology Hardware, Storage & Peripherals",WDC|VRT|PTC|NTAP|AVGO,HPQ|AAPL|WDC|STX|HPE,DUK|WDAY|LMT|GEV|ODFL,0.2,0.2,0.0,0.0,0.06666666666666667,0.0
SNPS,Application Software,AVGO|CTSH|CRM|MPWR|DDOG,PTC|INTU|APP|FICO|ADSK,SOLV|LII|SPGI|BG|KDP,0.0,0.0,0.0,0.08666666666666667,0.04,0.02
SO,Electric Utilities,DUK|D|AES|WEC|NI,CEG|VST|EVRG|FE|DUK,IR|PNR|FIX|SPG|HPQ,0.6,0.0,0.0,0.0,0.014285714285714285,0.0
SPGI,Financial Exchanges & Data,GPN|CARR|VRT|VTRS|JCI,FDS|MCO|ICE|MSCI|COIN,TSN|GLW|RCL|SNPS|GEN,0.0,0.0,0.0,0.0,0.2,0.0
STE,Health Care Equipment,VTRS|TEL|CAH|GPN|J,ISRG|GEHC|IDXX|SYK|PODD,VRSN|HPE|CHTR|DLR|WDC,0.0,0.2,0.0,0.02,0.0,0.0
STX,"Technology Hardware, Storage & Peripherals",NTAP|WDC|SNDK|MU|PTC,HPQ|NTAP|HPE|SNDK|WDC,GEN|GEV|XYL|MDLZ|BA,0.2,0.2,0.0,0.14666666666666667,0.12484848484848485,0.03333333333333333
SWK,Industrial Machinery & Supplies & Components,MRSH|AIG|SJM|AMCR|GNRC,HUBB|FTV|PNR|PH|IR,CHRW|MAS|TPR|STLD|MSFT,0.0,0.0,0.0,0.0,0.0,0.0
SWKS,Semiconductors,WDC|HPE|PTC|AVGO|TRMB,ADI|MPWR|NXPI|ON|INTC,GPC|MU|PPL|DUK|TKO,0.2,0.4,0.0,0.023529411764705882,0.1893939393939394,0.04
SYK,Health Care Equipment,ZBH|MDT|ISRG|XYL|GPN,STE|PODD|BAX|BDX|BSX,QCOM|HAS|CASY|LRCX|COIN,0.2,0.2,0.0,0.0,0.1,0.0
TDG,Aerospace & Defense,TEL|GPC|COHR|ADSK|RTX,BA|HWM|RTX|GE|LHX,WRB|AIG|CSX|ALL|HON,0.0,0.2,0.0,0.06666666666666667,0.14999999999999997,0.0
TECH,Life Sciences Tools & Services,GILD|A|TEL|BDX|CME,DHR|A|TMO|IQV|WAT,HD|AMZN|BA|TJX|PFE,0.0,0.2,0.0,0.0,0.0,0.0
TMO,Life Sciences Tools & Services,SOLV|PTC|ECL|J|PNR,TECH|DHR|A|WAT|IQV,HD|UBER|IBM|CME|ABT,0.2,0.2,0.0,0.0,0.0,0.0
TPL,Oil & Gas Exploration & Production,VLO|SNDK|XYZ|PLTR|CVX,OXY|DVN|CTRA|COP|FANG,DLTR|PNC|HPQ|BA|AXON,0.0,0.0,0.0,0.0,0.06666666666666667,0.0
TRMB,Application Software,AVGO|CTSH|IP|CARR|DELL,TYL|DDOG|WDAY|APP|ADBE,ETN|JBHT|LULU|BDX|VZ,0.0,0.0,0.0,0.0,0.0,0.0
TSN,Packaged Foods & Meats,KHC|CAG|HRL|PTC|J,KHC|HRL|MDLZ|MKC|CAG,WDC|AIG|JPM|DLR|IBM,0.0,0.0,0.0,0.36666666666666664,0.36666666666666664,0.0
TXN,Semiconductors,AVGO|J|PH|ECL|ROP,NVDA|AMD|AVGO|INTC|ON,AXON|DLR|APD|DVN|RVTY,0.0,0.2,0.0,0.015384615384615385,0.055384615384615386,0.0
TXT,Aerospace & Defense,TEL|ADSK|COHR|PH|AVGO,RTX|BA|GD|NOC|GE,INTC|REGN|BMY|IDXX|CTVA,0.0,0.0,0.0,0.0,0.0,0.0
