view,year,sector,dominant_theme,dominant_label,dominant_share,n_tickers
behavioral,2025,Health Care,theme_1,GD / DOC / AWK / JNJ,0.15517241379310345,58
behavioral,2025,Industrials,theme_24,EA / BDX / KDP / PFE,0.21518987341772153,79
behavioral,2025,Information Technology,theme_34,AXON / TTD / NCLH / COIN,0.1267605633802817,71
behavioral,2025,Materials,theme_24,EA / BDX / KDP / PFE,0.19230769230769232,26
behavioral,2025,Real Estate,theme_24,EA / BDX / KDP / PFE,0.45161290322580644,31
behavioral,2025,Utilities,theme_22,MCD / FE / KO / PEG,0.4838709677419355,31
behavioral,2026,Communication Services,theme_21,POOL / WAT / GPC / CBRE,0.21739130434782608,23
behavioral,2026,Consumer Discretionary,theme_32,NVR / AVY / HD / WFC,0.1875,48
behavioral,2026,Consumer Staples,theme_32,NVR / AVY / HD / WFC,0.16666666666666666,36
behavioral,2026,Energy,theme_37,CHTR / PWR / FANG / GRMN,0.36363636363636365,22
behavioral,2026,Financials,theme_21,POOL / WAT / GPC / CBRE,0.21052631578947367,76
behavioral,2026,Health Care,theme_32,NVR / AVY / HD / WFC,0.15517241379310345,58
behavioral,2026,Industrials,theme_32,NVR / AVY / HD / WFC,0.13924050632911392,79
behavioral,2026,Information Technology,theme_25,WDC / SNDK / LITE / CIEN,0.16666666666666666,72
behavioral,2026,Materials,theme_32,NVR / AVY / HD / WFC,0.15384615384615385,26
behavioral,2026,Real Estate,theme_35,INVH / MTB / PNC / AVB,0.25806451612903225,31
behavioral,2026,Utilities,theme_22,MCD / FE / KO / PEG,0.25806451612903225,31
business,2010,Communication Services,theme_0,EXPE / CINF / A / NI,1.0,16
business,2010,Consumer Discretionary,theme_0,EXPE / CINF / A / NI,1.0,40
business,2010,Consumer Staples,theme_0,EXPE / CINF / A / NI,1.0,34
business,2010,Energy,theme_0,EXPE / CINF / A / NI,1.0,16
business,2010,Financials,theme_0,EXPE / CINF / A / NI,1.0,65
business,2010,Health Care,theme_0,EXPE / CINF / A / NI,1.0,51
business,2010,Industrials,theme_0,EXPE / CINF / A / NI,1.0,66
business,2010,Information Technology,theme_0,EXPE / CINF / A / NI,1.0,55
business,2010,Materials,theme_0,EXPE / CINF / A / NI,1.0,22
business,2010,Real Estate,theme_0,EXPE / CINF / A / NI,1.0,29
business,2010,Utilities,theme_0,EXPE / CINF / A / NI,1.0,29
business,2011,Communication Services,theme_0,EXPE / CINF / A / NI,1.0,17
business,2011,Consumer Discretionary,theme_0,EXPE / CINF / A / NI,1.0,42
business,2011,Consumer Staples,theme_0,EXPE / CINF / A / NI,1.0,34
business,2011,Energy,theme_0,EXPE / CINF / A / NI,1.0,17
business,2011,Financials,theme_0,EXPE / CINF / A / NI,1.0,68
business,2011,Health Care,theme_0,EXPE / CINF / A / NI,1.0,51
business,2011,Industrials,theme_0,EXPE / CINF / A / NI,1.0,67
business,2011,Information Technology,theme_0,EXPE / CINF / A / NI,1.0,56
business,2011,Materials,theme_0,EXPE / CINF / A / NI,1.0,23
business,2011,Real Estate,theme_0,EXPE / CINF / A / NI,1.0,29
business,2011,Utilities,theme_0,EXPE / CINF / A / NI,1.0,29
business,2012,Communication Services,theme_0,EXPE / CINF / A / NI,1.0,17
business,2012,Consumer Discretionary,theme_0,EXPE / CINF / A / NI,1.0,43
business,2012,Consumer Staples,theme_0,EXPE / CINF / A / NI,1.0,34
business,2012,Energy,theme_0,EXPE / CINF / A / NI,1.0,19
business,2012,Financials,theme_0,EXPE / CINF / A / NI,1.0,69
business,2012,Health Care,theme_0,EXPE / CINF / A / NI,1.0,52
